scientificName,canonicalName,authorship,family,epithet,description
"Eucricetodon occasionalis Lopatin, 1996",Eucricetodon occasionalis,"Lopatin, 1996",Muridae,occasionalis,a rodent that resembles occasional
"Eucricetodon praecursor (Schaub, 1925)",Eucricetodon praecursor,"(Schaub, 1925) ",Muridae,praecursor,"a rodent that resembles preceding, forerunner"
"Eucricetodon quercyi Vianey-Liaud, 1972",Eucricetodon quercyi,"Vianey-Liaud, 1972",Muridae,quercyi,a rodent from Quercy
"Eucricetodon thezelensis Comte, 2000",Eucricetodon thezelensis,"Comte, 2000",Muridae,thezelensis,a rodent from Tezel
"Eucricetodon wangae Li et al., 2016",Eucricetodon wangae,"Li et al., 2016",Muridae,wangae,a rodent named after Wang
"Eucricetodon youngi Li & Qiu, 1980",Eucricetodon youngi,"Li & Qiu, 1980",Muridae,youngi,a rodent named after Young
"Eumys asiaticus (Matthew & Granger, 1923)",Eumys asiaticus,"(Matthew & Granger, 1923) ",Muridae,asiaticus,a rodent from Asia
"Cotimus bifidus (Fahlbusch, 1964)",Cotimus bifidus,"(Fahlbusch, 1964) ",Muridae,bifidus,a rodent that resembles split into two parts
"Eumyarion gordesensis Peláez-Campomanes, Gökta_, Kaya, Joniak, Bilgin, Mayda & van den Hoek Ostende, 2018",Eumyarion gordesensis,"Peláez-Campomanes, Gökta_, Kaya, Joniak, Bilgin, Mayda & van den Hoek Ostende, 2018",Muridae,gordesensis,a rodent from Gordes
"Eumyarion helveticus Schaub, 1925",Eumyarion helveticus,"Schaub, 1925",Muridae,helveticus,a rodent from or of Switzerland
"Eumyarion latior Schaub & Zapfe, 1953",Eumyarion latior,"Schaub & Zapfe, 1953",Muridae,latior,a rodent that resembles wider or broader
"Eumyarion leemanni Hartenberger, 1966",Eumyarion leemanni,"Hartenberger, 1966",Muridae,leemanni,a rodent named after Leemann
"Eumyarion lukasi Joniak et al., 2017",Eumyarion lukasi,"Joniak et al., 2017",Muridae,lukasi,a rodent named after Lucas
"Eumyarion margueritae de Bruijn et al., 2013",Eumyarion margueritae,"de Bruijn et al., 2013",Muridae,margueritae,a rodent named after Marguerite
"Eumyarion medius Lartet, 1851",Eumyarion medius,"Lartet, 1851",Muridae,medius,a rodent that resembles in the middle
"Eumyarion orhani de Bruijn et al., 2006",Eumyarion orhani,"de Bruijn et al., 2006",Muridae,orhani,a rodent named after Orhan
"Eumyarion tremulus Lopatin, 1996",Eumyarion tremulus,"Lopatin, 1996",Muridae,tremulus,a rodent that resembles trembling or quivering
"Eumyarion weinfurteri Schaub & Zapfe, 1953",Eumyarion weinfurteri,"Schaub & Zapfe, 1953",Muridae,weinfurteri,a rodent named after Weinfurter
"Eumys brachyodus Wood, 1937",Eumys brachyodus,"Wood, 1937",Muridae,brachyodus,a short-toothed rodent
"Eumys cricetodontoides White, 1954",Eumys cricetodontoides,"White, 1954",Muridae,cricetodontoides,a rodent that resembles resembling an extinct hamster
"Eumys elegans Leidy, 1856",Eumys elegans,"Leidy, 1856",Muridae,elegans,a rodent that resembles elegant or graceful
"Eumys eliensis Black, 1961",Eumys eliensis,"Black, 1961",Muridae,eliensis,a rodent from Eile
"Eumys euryodus Korth, 2011",Eumys euryodus,"Korth, 2011",Muridae,euryodus,a broad-toothed rodent
"Eumys parvidens Wood, 1937",Eumys parvidens,"Wood, 1937",Muridae,parvidens,a small-toothed rodent
"Eumysodon spurius Argyropulo, 1939",Eumysodon spurius,"Argyropulo, 1939",Muridae,spurius,a rodent that resembles false or spurious
"Extrarius orhuni Erten, 2017",Extrarius orhuni,"Erten, 2017",Muridae,orhuni,a rodent from the Orhun region
"Fahlbuschia darocensis Freudenthal, 1963",Fahlbuschia darocensis,"Freudenthal, 1963",Muridae,darocensis,a rodent from Daroca
"Fahlbuschia freudenthali Antunes & Mein, 1981",Fahlbuschia freudenthali,"Antunes & Mein, 1981",Muridae,freudenthali,a rodent named after Freudenthal
"Fahlbuschia koenigswaldi Freudenthal, 1963",Fahlbuschia koenigswaldi,"Freudenthal, 1963",Muridae,koenigswaldi,a rodent named after Koenigswald
"Fahlbuschia larteti Mein & Freudenthal, 1971",Fahlbuschia larteti,"Mein & Freudenthal, 1971",Muridae,larteti,a rodent named after Lartet
"Galushamys redingtonensis Jacobs, 1977",Galushamys redingtonensis,"Jacobs, 1977",Muridae,redingtonensis,a rodent from the Redington area
"Gerbilliscus afer (Gray, 1830)",Gerbilliscus afer,"(Gray, 1830) ",Muridae,afer,a rodent from Africa
"Gerbilliscus afra (Gray, 1830)",Gerbilliscus afra,"(Gray, 1830) ",Muridae,afra,a rodent from Africa
"Gerbilliscus boehmi (Noack, 1887)",Gerbilliscus boehmi,"(Noack, 1887) ",Muridae,boehmi,a rodent named after Boehm
"Gerbilliscus brantsii (A.Smith, 1836)",Gerbilliscus brantsii,"(A.Smith, 1836) ",Muridae,brantsii,a rodent named after Brants
"Gerbilliscus gambiana (Thomas, 1910)",Gerbilliscus gambiana,"(Thomas, 1910) ",Muridae,gambiana,a rodent from the Gambia
"Gerbilliscus guineae (Thomas, 1910)",Gerbilliscus guineae,"(Thomas, 1910) ",Muridae,guineae,a rodent from Guinea
"Gerbilliscus inclusus (Thomas & Wroughton, 1908)",Gerbilliscus inclusus,"(Thomas & Wroughton, 1908) ",Muridae,inclusus,a enclosed or confined rodent
"Gerbilliscus kempii (Wroughton, 1906)",Gerbilliscus kempii,"(Wroughton, 1906) ",Muridae,kempii,a rodent named after Kemp
"Gerbilliscus leucogaster (Peters, 1852)",Gerbilliscus leucogaster,"(Peters, 1852) ",Muridae,leucogaster,a white-bellied rodent
"Gerbilliscus nigricaudus (Peters, 1878)",Gerbilliscus nigricaudus,"(Peters, 1878) ",Muridae,nigricaudus,a black-tailed rodent
"Gerbilliscus phillipsi (de Winton, 1898)",Gerbilliscus phillipsi,"(de Winton, 1898) ",Muridae,phillipsi,a rodent named after Phillips
"Gerbilliscus robustus (Cretzschmar, 1826)",Gerbilliscus robustus,"(Cretzschmar, 1826) ",Muridae,robustus,a rodent that resembles strong or robust
"Gerbilliscus validus (Bocage, 1890)",Gerbilliscus validus,"(Bocage, 1890) ",Muridae,validus,a rodent that resembles strong or robust
"Gerbilliscus vicinus Peters, 1878",Gerbilliscus vicinus,"Peters, 1878",Muridae,vicinus,a rodent that resembles neighboring or nearby
"Gerbillurus paeba (A.Smith, 1836)",Gerbillurus paeba,"(A.Smith, 1836) ",Muridae,paeba,a rodent that resembles wandering or roving
"Gerbillurus setzeri (Schlitter, 1973)",Gerbillurus setzeri,"(Schlitter, 1973) ",Muridae,setzeri,a rodent named after Setzer
"Gerbillurus tytonis (Bauer & Niethammer, 1960)",Gerbillurus tytonis,"(Bauer & Niethammer, 1960) ",Muridae,tytonis,a rodent that resembles of or relating to owls
"Gerbillurus vallinus (Thomas, 1918)",Gerbillurus vallinus,"(Thomas, 1918) ",Muridae,vallinus,a rodent that resembles of the valley
"Gerbillus acticola Thomas, 1918",Gerbillus acticola,"Thomas, 1918",Muridae,acticola,a rodent that resembles living in the arctic
"Gerbillus agag Thomas, 1903",Gerbillus agag,"Thomas, 1903",Muridae,agag,a rodent that resembles royal or kingly
"Gerbillus amoenus (de Winton, 1902)",Gerbillus amoenus,"(de Winton, 1902) ",Muridae,amoenus,a rodent that resembles pleasant or beautiful
"Gerbillus andersoni de Winton, 1902",Gerbillus andersoni,"de Winton, 1902",Muridae,andersoni,a rodent named after Anderson
"Gerbillus aquilus Schlitter & Setzer, 1972",Gerbillus aquilus,"Schlitter & Setzer, 1972",Muridae,aquilus,a dark-colored rodent
"Gerbillus bibersoni Geraads, 1995",Gerbillus bibersoni,"Geraads, 1995",Muridae,bibersoni,a rodent named after Biberson
"Gerbillus brockmani (Thomas, 1910)",Gerbillus brockmani,"(Thomas, 1910) ",Muridae,brockmani,a rodent named after Brockman
"Gerbillus burloni F.Cuvier, 1838",Gerbillus burloni,"F.Cuvier, 1838",Muridae,burloni,a rodent named after Burlon
"Gerbillus burtoni F.Cuvier, 1838",Gerbillus burtoni,"F.Cuvier, 1838",Muridae,burtoni,a rodent named after Burton
"Gerbillus cheesmani Thomas, 1919",Gerbillus cheesmani,"Thomas, 1919",Muridae,cheesmani,a rodent named after Cheesman
"Gerbillus dongolanus (Heuglin, 1877)",Gerbillus dongolanus,"(Heuglin, 1877) ",Muridae,dongolanus,a rodent from Dongola
"Gerbillus dunni Thomas, 1904",Gerbillus dunni,"Thomas, 1904",Muridae,dunni,a rodent named after Dunn
"Gerbillus famulus Yerbury & Thomas, 1895",Gerbillus famulus,"Yerbury & Thomas, 1895",Muridae,famulus,a rodent that resembles servant or attendant
"Gerbillus floweri Thomas, 1919",Gerbillus floweri,"Thomas, 1919",Muridae,floweri,a rodent named after Flower
"Gerbillus garamantis Lataste, 1881",Gerbillus garamantis,"Lataste, 1881",Muridae,garamantis,a rodent from the Garamantes' land
"Gerbillus gerbillus (Olivier, 1800)",Gerbillus gerbillus,"(Olivier, 1800) ",Muridae,gerbillus,a rodent that resembles little jerboa-like rodent
"Gerbillus gleadowi Murray, 1886",Gerbillus gleadowi,"Murray, 1886",Muridae,gleadowi,a rodent named after Gleadow
"Gerbillus grandis Tong, 1989",Gerbillus grandis,"Tong, 1989",Muridae,grandis,a rodent that resembles large or big
"Gerbillus grobbeni Klaptocz, 1909",Gerbillus grobbeni,"Klaptocz, 1909",Muridae,grobbeni,a rodent named after Grobben
"Gerbillus henleyi (de Winton, 1903)",Gerbillus henleyi,"(de Winton, 1903) ",Muridae,henleyi,a rodent named after Henley
"Gerbillus hesperinus Cabrera, 1936",Gerbillus hesperinus,"Cabrera, 1936",Muridae,hesperinus,a rodent that resembles of the evening
"Gerbillus hoogstraali Lay, 1975",Gerbillus hoogstraali,"Lay, 1975",Muridae,hoogstraali,a rodent named after Hoogstraal
"Gerbillus latastei Thomas & Trouessart, 1903",Gerbillus latastei,"Thomas & Trouessart, 1903",Muridae,latastei,a rodent named after Lataste
"Gerbillus mauritaniae (Heim de Balsac, 1943)",Gerbillus mauritaniae,"(Heim de Balsac, 1943) ",Muridae,mauritaniae,a rodent from Mauritania
"Gerbillus mesopotamiae Harrison, 1956",Gerbillus mesopotamiae,"Harrison, 1956",Muridae,mesopotamiae,a rodent from Mesopotamia
"Gerbillus muriculus (Thomas & Hinton, 1923)",Gerbillus muriculus,"(Thomas & Hinton, 1923) ",Muridae,muriculus,a little mouse-like rodent
"Gerbillus nancillus Thomas & Hinton, 1923",Gerbillus nancillus,"Thomas & Hinton, 1923",Muridae,nancillus,a rodent that resembles very small
"Gerbillus nanus Blanford, 1875",Gerbillus nanus,"Blanford, 1875",Muridae,nanus,a rodent that resembles dwarf or very small
"Gerbillus nigeriae Thomas & Hinton, 1920",Gerbillus nigeriae,"Thomas & Hinton, 1920",Muridae,nigeriae,a rodent from Nigeria
"Gerbillus occiduus Lay, 1975",Gerbillus occiduus,"Lay, 1975",Muridae,occiduus,"a rodent that resembles western, of the west"
"Gerbillus perpallidus Setzer, 1958",Gerbillus perpallidus,"Setzer, 1958",Muridae,perpallidus,a rodent that resembles very pale
"Gerbillus poecilops Yerbury & Thomas, 1895",Gerbillus poecilops,"Yerbury & Thomas, 1895",Muridae,poecilops,a rodent that resembles varied appearance
"Gerbillus principulus (Thomas & Hinton, 1923)",Gerbillus principulus,"(Thomas & Hinton, 1923) ",Muridae,principulus,a rodent that resembles little prince
"Gerbillus pulvinatus Rhoads, 1896",Gerbillus pulvinatus,"Rhoads, 1896",Muridae,pulvinatus,a cushion-shaped rodent
"Gerbillus pusillus Peters, 1878",Gerbillus pusillus,"Peters, 1878",Muridae,pusillus,a rodent that resembles very small
"Gerbillus pyramidum (_.Geoffroy, 1803)",Gerbillus pyramidum,"(_.Geoffroy, 1803) ",Muridae,pyramidum,a rodent that resembles pyramidal
"Gerbillus rosalinda St.Leger, 1929",Gerbillus rosalinda,"St.Leger, 1929",Muridae,rosalinda,a rose-colored rodent
"Gerbillus syrticus Misonne, 1974",Gerbillus syrticus,"Misonne, 1974",Muridae,syrticus,a rodent from coastal sands
"Gerbillus tarabuli Thomas, 1902",Gerbillus tarabuli,"Thomas, 1902",Muridae,tarabuli,a rodent that resembles of the desert
"Gerbillus vanillus Thomas, 1918",Gerbillus vanillus,"Thomas, 1918",Muridae,vanillus,a rodent that resembles little sheath
"Gerbillus vivax (Thomas, 1902)",Gerbillus vivax,"(Thomas, 1902) ",Muridae,vivax,"a rodent that resembles long-lived, persistent"
"Gerbillus watersi de Winton, 1901",Gerbillus watersi,"de Winton, 1901",Muridae,watersi,a rodent named after Waters
"Eumys gloveri (Macdonald, 1970)",Eumys gloveri,"(Macdonald, 1970) ",Muridae,gloveri,a rodent named after Glover
"Paciculus mcgregori (Macdonald, 1970)",Paciculus mcgregori,"(Macdonald, 1970) ",Muridae,mcgregori,a rodent named after McGregor
"Golunda aouraghei Piñero, Agustí, Haddoumi, El Hammouti, Chacon & Sala-Ramos, 2020",Golunda aouraghei,"Piñero, Agustí, Haddoumi, El Hammouti, Chacon & Sala-Ramos, 2020",Muridae,aouraghei,a golden-tailed rodent
"Golunda ellioti Gray, 1837",Golunda ellioti,"Gray, 1837",Muridae,ellioti,a rodent named after Elliot
"Goniodontomys disjunctus (Wilson, 1937)",Goniodontomys disjunctus,"(Wilson, 1937) ",Muridae,disjunctus,a widely separated rodent
"Gracilimus radix Rowe, Achmadi & Esselstyn, 2016",Gracilimus radix,"Rowe, Achmadi & Esselstyn, 2016",Muridae,radix,a rooted or root-like rodent
"Grammomys aridulus Thomas & Hinton, 1923",Grammomys aridulus,"Thomas & Hinton, 1923",Muridae,aridulus,a rodent that resembles somewhat dry
"Grammomys brevirostris Kryštufek, 2008",Grammomys brevirostris,"Kryštufek, 2008",Muridae,brevirostris,a short-billed rodent
"Grammomys buntingi (Thomas, 1911)",Grammomys buntingi,"(Thomas, 1911) ",Muridae,buntingi,a rodent named after Bunting
"Grammomys caniceps Hutterer & Dieterlen, 1984",Grammomys caniceps,"Hutterer & Dieterlen, 1984",Muridae,caniceps,a gray-headed rodent
"Grammomys cometes (Thomas & Wroughton, 1908)",Grammomys cometes,"(Thomas & Wroughton, 1908) ",Muridae,cometes,a long-haired rodent
"Grammomys dolichurus (Smuts, 1832)",Grammomys dolichurus,"(Smuts, 1832) ",Muridae,dolichurus,a long-tailed rodent
"Grammomys dryas (Thomas, 1907)",Grammomys dryas,"(Thomas, 1907) ",Muridae,dryas,a rodent that resembles of the woods
"Grammomys gigas (Dollman, 1911)",Grammomys gigas,"(Dollman, 1911) ",Muridae,gigas,a rodent that resembles very large
"Grammomys ibeanus (Osgood, 1910)",Grammomys ibeanus,"(Osgood, 1910) ",Muridae,ibeanus,a rodent from the Ibe River
"Grammomys kuru (Thomas & Wroughton, 1907)",Grammomys kuru,"(Thomas & Wroughton, 1907) ",Muridae,kuru,a rodent that resembles causing trembling
"Grammomys macmillani (Wroughton, 1907)",Grammomys macmillani,"(Wroughton, 1907) ",Muridae,macmillani,a rodent named after MacMillan
"Grammomys minnae Hutterer & Dieterlen, 1984",Grammomys minnae,"Hutterer & Dieterlen, 1984",Muridae,minnae,a rodent named after Minna
"Grammomys poensis (Eisentraut, 1965)",Grammomys poensis,"(Eisentraut, 1965) ",Muridae,poensis,a rodent from the island of Bioko
"Grammomys rutilons (Peters, 1876)",Grammomys rutilons,"(Peters, 1876) ",Muridae,rutilons,a rodent that resembles reddish-yellow
"Grammomys selousi Denys, Lalis, Lecompte, Cornette, Moulin, Makundi, Machung'u, Volobouev & Aniskine, 2011",Grammomys selousi,"Denys, Lalis, Lecompte, Cornette, Moulin, Makundi, Machung'u, Volobouev & Aniskine, 2011",Muridae,selousi,a rodent named after Selous
"Guildayomys hibbardi Zakrzewski, 1984",Guildayomys hibbardi,"Zakrzewski, 1984",Muridae,hibbardi,a rodent named after Hibbard
"Guildayomys matthewsi Storer, 2004",Guildayomys matthewsi,"Storer, 2004",Muridae,matthewsi,a rodent named after Matthew
"Hadromys humei (Thomas, 1886)",Hadromys humei,"(Thomas, 1886) ",Muridae,humei,a rodent named after Hume
"Hadromys yunnanensis Yang & Wang, 1987",Hadromys yunnanensis,"Yang & Wang, 1987",Muridae,yunnanensis,a rodent from Yunnan
"Haeromys margarettae (Thomas, 1893)",Haeromys margarettae,"(Thomas, 1893) ",Muridae,margarettae,a rodent named after Margaret
"Haeromys minahassae (Thomas, 1896)",Haeromys minahassae,"(Thomas, 1896) ",Muridae,minahassae,a rodent from Minahassa
"Haeromys pusillus (Thomas, 1893)",Haeromys pusillus,"(Thomas, 1893) ",Muridae,pusillus,a rodent that resembles very small
"Halmaheramys bokimekot Fabre, Pagès, Musser, Fitriana, Semiadi & Helgen, 2013",Halmaheramys bokimekot,"Fabre, Pagès, Musser, Fitriana, Semiadi & Helgen, 2013",Muridae,bokimekot,a rodent from the Boki Mekot river
"Hansdebruijnia erksinae Storch & Dahlmann, 1995",Hansdebruijnia erksinae,"Storch & Dahlmann, 1995",Muridae,erksinae,a rodent named after Erksin
"Hapalomys delacouri Thomas, 1927",Hapalomys delacouri,"Thomas, 1927",Muridae,delacouri,a rodent named after Delacour
"Hapalomys longicaudatus Blyth, 1859",Hapalomys longicaudatus,"Blyth, 1859",Muridae,longicaudatus,a long-tailed rodent
"Hapalomys suntsovi Abramov, Balakirev & Rozhnov, 2017",Hapalomys suntsovi,"Abramov, Balakirev & Rozhnov, 2017",Muridae,suntsovi,a rodent named after Suntsov
"Hattomys beetsi Freudenthal, 1985",Hattomys beetsi,"Freudenthal, 1985",Muridae,beetsi,a rodent named after Beets
"Hattomys gargantua Freudenthal, 1985",Hattomys gargantua,"Freudenthal, 1985",Muridae,gargantua,a rodent that resembles very large
"Hattomys nazarii Freudenthal, 1985",Hattomys nazarii,"Freudenthal, 1985",Muridae,nazarii,a rodent named after Nazarius
"Heimyscus fumosus (Brosset, Dubost & Heim de Balsac, 1965)",Heimyscus fumosus,"(Brosset, Dubost & Heim de Balsac, 1965) ",Muridae,fumosus,a rodent that resembles smoky or sooty
"Helgenema keablei Smales, 2020",Helgenema keablei,"Smales, 2020",Muridae,keablei,a rodent named after Keable
"Heramys eviensis Klein Hofmeijer & de Bruijn, 1985",Heramys eviensis,"Klein Hofmeijer & de Bruijn, 1985",Muridae,eviensis,a rodent from Eivissa/Ibiza
"Heterocricetodon gaimersheimensis Freudenberg, 1941",Heterocricetodon gaimersheimensis,"Freudenberg, 1941",Muridae,gaimersheimensis,a rodent from Gaimersheim
"Heterocricetodon hausi Engesser, 1987",Heterocricetodon hausi,"Engesser, 1987",Muridae,hausi,a rodent that resembles of Haus
"Heterocricetodon helbingi Stehlin & Schaub, 1951",Heterocricetodon helbingi,"Stehlin & Schaub, 1951",Muridae,helbingi,a rodent named after Helbing
"Heterocricetodon landroveri (Daams et al., 1989)",Heterocricetodon landroveri,"(Daams et al., 1989) ",Muridae,landroveri,a rodent named after Land Rover
"Heterocricetodon schlosseri Schaub, 1925",Heterocricetodon schlosseri,"Schaub, 1925",Muridae,schlosseri,a rodent named after Schlosser
"Heterocricetodon serbicus Markovi_, Wessels, van de Weerd & de Bruijn, 2019",Heterocricetodon serbicus,"Markovi_, Wessels, van de Weerd & de Bruijn, 2019",Muridae,serbicus,a rodent from Serbia
"Heterocricetodon stehlini Schaub, 1925",Heterocricetodon stehlini,"Schaub, 1925",Muridae,stehlini,a rodent named after Stehlin
"Hibbardomys fayae Zakrzewski, 1984",Hibbardomys fayae,"Zakrzewski, 1984",Muridae,fayae,a rodent named after Fay
"Hibbardomys marthae Zakrzewski, 1984",Hibbardomys marthae,"Zakrzewski, 1984",Muridae,marthae,a rodent named after Martha
"Hibbardomys skinneri Zakrzewski, 1984",Hibbardomys skinneri,"Zakrzewski, 1984",Muridae,skinneri,a rodent named after Skinner
"Hibbardomys voorhiesi Zakrzewski, 1984",Hibbardomys voorhiesi,"Zakrzewski, 1984",Muridae,voorhiesi,a rodent named after Voorhies
"Hibbardomys zakrzewskii Martin, 1989",Hibbardomys zakrzewskii,"Martin, 1989",Muridae,zakrzewskii,a rodent named after Zakrzewski
"Hispanomys adroveri Agusti, 1986",Hispanomys adroveri,"Agusti, 1986",Muridae,adroveri,a rodent named after Adrover
